Giornata,SetGioc.,PUNTI_Tot,PUNTI_Vin,PUNTI_BP,BATTUTA_Tot,BATTUTA_Ace,BATTUTA_Err.,BATTUTA_AceperSet,BATTUTA_Effic.,RICEZIONE_Tot,RICEZIONE_Err.,RICEZIONE_Neg.,RICEZIONE_Prf.,RICEZIONE_Prf..,RICEZIONE_Effic.,ATTACCO_Tot,ATTACCO_Err.,ATTACCO_Murati,ATTACCO_Prf.,ATTACCO_Prf..,ATTACCO_Effic.,MURO_Prf.,MURO_PuntiperSet,team,risultato,vit,cum
Andata_3,5,80,51,29,107,10,19,2,-0.08,88,9,33,42,47.7,0.37,115,9,11,56,48.7,0.41,14,2.8,Calzedonia Verona,2,0,2
Andata_4,5,81,49,32,113,7,22,1.4,-0.13,90,14,47,15,16.7,0.01,130,8,7,61,46.9,0.41,13,2.6,Calzedonia Verona,3,1,3
Andata_5,4,67,44,23,90,6,19,1.5,-0.14,67,7,26,13,19.4,0.09,89,6,2,52,58.4,0.52,9,2.25,Calzedonia Verona,3,1,4
Andata_6,4,76,41,35,100,7,16,1.75,-0.09,71,6,37,19,26.8,0.18,107,4,7,57,53.3,0.5,12,3,Calzedonia Verona,3,1,5
Andata_7,3,51,27,24,74,3,12,1,-0.12,44,5,21,6,13.6,0.02,71,5,3,40,56.3,0.49,8,2.67,Calzedonia Verona,3,1,6
Andata_8,3,46,36,10,60,2,17,0.67,-0.25,65,12,28,16,24.6,0.06,79,7,5,39,49.4,0.41,5,1.67,Calzedonia Verona,0,0,6
Andata_9,3,35,26,9,59,2,13,0.67,-0.19,59,6,40,10,16.9,0.07,79,8,7,28,35.4,0.25,5,1.67,Calzedonia Verona,0,0,6
Andata_10,5,79,50,29,109,3,22,0.6,-0.17,90,10,51,16,17.8,0.07,129,5,10,64,49.6,0.46,12,2.4,Calzedonia Verona,2,0,6
Andata_11,3,36,25,11,54,2,13,0.67,-0.2,62,6,34,10,16.1,0.06,65,6,6,30,46.2,0.37,4,1.33,Calzedonia Verona,0,0,6
Andata_12,3,34,23,11,52,2,6,0.67,-0.08,60,6,39,9,15,0.05,76,7,10,27,35.5,0.26,5,1.67,Calzedonia Verona,0,0,6
Andata_13,3,66,35,31,73,5,14,1.67,-0.12,51,5,24,12,23.5,0.14,77,7,3,48,62.3,0.53,13,4.33,Calzedonia Verona,3,1,7
Ritorno_1,4,74,49,25,104,5,18,1.25,-0.12,86,3,45,25,29.1,0.26,133,9,13,60,45.1,0.38,9,2.25,Calzedonia Verona,3,1,8
Ritorno_2,3,52,36,16,71,5,12,1.67,-0.1,65,5,36,14,21.5,0.14,89,8,6,41,46.1,0.37,6,2,Calzedonia Verona,0,0,8
Ritorno_3,3,57,34,23,83,7,19,2.33,-0.14,54,5,29,16,29.6,0.2,75,5,8,42,56,0.49,8,2.67,Calzedonia Verona,3,1,9
Ritorno_4,3,55,35,20,73,1,11,0.33,-0.14,51,6,27,11,21.6,0.1,76,8,1,44,57.9,0.47,10,3.33,Calzedonia Verona,3,1,10
Ritorno_5,3,57,30,27,73,6,13,2,-0.1,46,3,28,13,28.3,0.22,67,5,7,39,58.2,0.51,12,4,Calzedonia Verona,3,1,11
Ritorno_6,4,67,38,29,93,5,15,1.25,-0.11,76,9,34,18,23.7,0.12,108,10,7,51,47.2,0.38,11,2.75,Calzedonia Verona,3,1,12
Ritorno_7,4,72,50,22,97,5,19,1.25,-0.14,74,3,43,18,24.3,0.2,101,7,7,58,57.4,0.5,9,2.25,Calzedonia Verona,3,1,13
Ritorno_8,3,50,29,21,74,3,12,1,-0.12,45,1,28,12,26.7,0.24,73,3,5,39,53.4,0.49,8,2.67,Calzedonia Verona,3,1,14
Ritorno_9,3,42,29,13,73,2,14,0.67,-0.16,66,7,38,7,10.6,NA,89,8,17,35,39.3,0.3,5,1.67,Calzedonia Verona,0,0,14
Ritorno_10,3,57,31,26,80,7,12,2.33,-0.06,59,4,29,10,16.9,0.1,82,9,7,39,47.6,0.37,11,3.67,Calzedonia Verona,3,1,15
Ritorno_11,5,62,37,25,96,6,19,1.2,-0.14,79,10,36,17,21.5,0.09,106,7,11,47,44.3,0.38,9,1.8,Calzedonia Verona,2,0,15
Ritorno_12,3,37,29,8,60,2,16,0.67,-0.23,61,6,29,15,24.6,0.15,74,9,5,33,44.6,0.32,2,0.67,Calzedonia Verona,0,0,15
