Giornata,SetGioc.,PUNTI_Tot,PUNTI_Vin,PUNTI_BP,BATTUTA_Tot,BATTUTA_Ace,BATTUTA_Err.,BATTUTA_AceperSet,BATTUTA_Effic.,RICEZIONE_Tot,RICEZIONE_Err.,RICEZIONE_Neg.,RICEZIONE_Prf.,RICEZIONE_Prf..,RICEZIONE_Effic.,ATTACCO_Tot,ATTACCO_Err.,ATTACCO_Murati,ATTACCO_Prf.,ATTACCO_Prf..,ATTACCO_Effic.,MURO_Prf.,MURO_PuntiperSet,team,risultato,vit,cum
Andata_11,3,55,26,29,73,6,11,2,-0.07,41,2,13,18,43.9,0.39,63,4,4,43,68.3,0.62,6,2,Cucine Lube Civitanova,3,1,10
Andata_12,4,73,42,31,96,13,18,3.25,-0.05,63,8,25,21,33.3,0.21,79,2,5,53,67.1,0.65,7,1.75,Cucine Lube Civitanova,3,1,11
Andata_13,5,84,51,33,117,5,29,1,-0.21,86,9,36,18,20.9,0.1,118,8,13,64,54.2,0.47,15,3,Cucine Lube Civitanova,2,0,11
Ritorno_1,3,55,31,24,73,5,15,1.67,-0.14,49,3,17,18,36.7,0.31,73,8,7,43,58.9,0.48,7,2.33,Cucine Lube Civitanova,3,1,12
Ritorno_2,4,59,35,24,94,8,14,2,-0.06,72,7,35,25,34.7,0.25,86,7,12,41,47.7,0.4,10,2.5,Cucine Lube Civitanova,3,1,13
Ritorno_3,3,58,31,27,73,6,11,2,-0.07,37,2,10,17,45.9,0.41,60,2,2,45,75,0.72,7,2.33,Cucine Lube Civitanova,3,1,14
Ritorno_4,3,52,31,21,73,7,19,2.33,-0.16,45,4,16,16,35.6,0.27,59,5,1,41,69.5,0.61,4,1.33,Cucine Lube Civitanova,3,1,15
Ritorno_5,3,54,25,29,74,8,15,2.67,-0.09,40,5,12,13,32.5,0.2,66,3,3,37,56.1,0.52,9,3,Cucine Lube Civitanova,3,1,16
Ritorno_6,4,70,49,21,96,3,16,0.75,-0.14,73,9,26,20,27.4,0.15,109,8,6,56,51.4,0.44,11,2.75,Cucine Lube Civitanova,3,1,17
Ritorno_7,4,77,44,33,97,7,22,1.75,-0.15,62,1,26,20,32.3,0.31,98,3,5,63,64.3,0.61,7,1.75,Cucine Lube Civitanova,3,1,18
Ritorno_8,4,73,38,35,101,10,25,2.5,-0.15,59,4,26,14,23.7,0.17,87,3,6,56,64.4,0.61,7,1.75,Cucine Lube Civitanova,3,1,19
Ritorno_9,3,58,28,30,74,4,6,1.33,-0.03,47,5,20,12,25.5,0.15,74,5,5,40,54.1,0.47,14,4.67,Cucine Lube Civitanova,3,1,20
Ritorno_10,3,54,23,31,74,10,13,3.33,-0.04,38,1,12,14,36.8,0.34,63,5,6,33,52.4,0.44,11,3.67,Cucine Lube Civitanova,3,1,21
Ritorno_11,5,75,42,33,103,10,24,2,-0.14,77,6,27,27,35.1,0.27,109,7,9,54,49.5,0.43,11,2.2,Cucine Lube Civitanova,3,1,22
Ritorno_12,5,68,44,24,98,7,18,1.4,-0.11,82,14,34,15,18.3,0.01,94,8,6,53,56.4,0.48,8,1.6,Cucine Lube Civitanova,2,0,22
Ritorno_13,4,71,43,28,99,6,20,1.5,-0.14,62,5,27,21,33.9,0.26,97,7,8,55,56.7,0.49,10,2.5,Cucine Lube Civitanova,3,1,23
Andata_1,4,61,37,24,93,6,21,1.5,-0.16,79,11,31,25,31.6,0.18,112,9,13,48,42.9,0.35,7,1.75,Revivre Milano,3,1,1
Andata_2,4,58,41,17,87,4,18,1,-0.16,78,11,35,18,23.1,0.09,92,4,10,45,48.9,0.45,9,2.25,Revivre Milano,1,0,1
Andata_3,3,37,27,10,58,2,10,0.67,-0.14,60,7,33,9,15,0.03,83,6,10,32,38.6,0.31,3,1,Revivre Milano,0,0,1
Andata_4,5,83,51,32,108,8,16,1.6,-0.07,94,10,42,24,25.5,0.15,137,7,10,63,46,0.41,12,2.4,Revivre Milano,2,0,1
Andata_5,3,32,23,9,60,5,12,1.67,-0.12,53,3,33,9,17,0.11,57,9,6,24,42.1,0.26,3,1,Revivre Milano,0,0,1
Andata_6,5,92,60,32,132,7,23,1.4,-0.12,110,12,54,41,37.3,0.26,146,16,12,70,47.9,0.37,15,3,Revivre Milano,2,0,1
Andata_7,3,40,28,12,58,5,14,1.67,-0.16,62,3,35,14,22.6,0.18,82,8,8,32,39,0.29,3,1,Revivre Milano,0,0,1
Andata_8,3,37,27,10,67,5,16,1.67,-0.16,57,3,19,20,35.1,0.3,72,4,9,29,40.3,0.35,3,1,Revivre Milano,0,0,1
Andata_9,4,64,34,30,98,8,23,2,-0.15,60,6,21,15,25,0.15,88,5,10,47,53.4,0.48,9,2.25,Revivre Milano,3,1,2
Andata_10,3,39,25,14,59,1,11,0.33,-0.17,60,6,22,18,30,0.2,68,2,14,32,47.1,0.44,6,2,Revivre Milano,0,0,2
Andata_11,3,45,32,13,62,5,14,1.67,-0.15,62,4,27,13,21,0.15,91,10,10,31,34.1,0.23,9,3,Revivre Milano,0,0,2
Andata_12,5,82,64,18,101,3,28,0.6,-0.25,95,3,54,15,15.8,0.13,126,10,10,68,54,0.46,11,2.2,Revivre Milano,2,0,2
Andata_13,3,37,29,8,61,2,14,0.67,-0.2,58,3,30,10,17.2,0.12,78,3,11,34,43.6,0.4,1,0.33,Revivre Milano,0,0,2
Ritorno_1,4,69,45,24,96,5,21,1.25,-0.17,67,5,26,17,25.4,0.18,90,3,8,53,58.9,0.56,11,2.75,Revivre Milano,3,1,3
Ritorno_2,5,64,46,18,96,6,25,1.2,-0.2,89,15,37,15,16.9,NA,105,4,7,52,49.5,0.46,6,1.2,Revivre Milano,2,0,3
Ritorno_3,3,39,26,13,60,4,13,1.33,-0.15,60,6,26,13,21.7,0.12,73,10,7,32,43.8,0.3,3,1,Revivre Milano,0,0,3
Ritorno_4,3,44,33,11,66,2,20,0.67,-0.27,63,5,28,14,22.2,0.14,86,5,5,38,44.2,0.38,4,1.33,Revivre Milano,0,0,3
Ritorno_5,3,32,23,9,53,4,13,1.33,-0.17,59,11,16,17,28.8,0.1,74,7,9,25,33.8,0.24,3,1,Revivre Milano,0,0,3
Ritorno_6,4,56,41,15,93,7,12,1.75,-0.05,77,6,33,22,28.6,0.21,96,5,19,43,44.8,0.4,6,1.5,Revivre Milano,1,0,3
Ritorno_7,4,62,46,16,91,3,17,0.75,-0.15,78,5,36,27,34.6,0.28,100,4,9,52,52,0.48,7,1.75,Revivre Milano,1,0,3
Ritorno_8,3,33,25,8,57,3,15,1,-0.21,58,6,30,12,20.7,0.1,72,11,4,27,37.5,0.22,3,1,Revivre Milano,0,0,3
Ritorno_9,4,57,41,16,94,2,20,0.5,-0.19,85,12,39,16,18.8,0.05,110,5,14,47,42.7,0.38,8,2,Revivre Milano,1,0,3
Ritorno_10,5,81,54,27,108,2,28,0.4,-0.24,90,10,39,20,22.2,0.11,132,14,6,70,53,0.42,9,1.8,Revivre Milano,3,1,4
Ritorno_11,3,44,29,15,60,4,10,1.33,-0.1,64,11,28,10,15.6,-0.02,67,6,5,33,49.3,0.4,7,2.33,Revivre Milano,0,0,4
Ritorno_12,3,64,38,26,74,11,14,3.67,-0.04,63,2,37,9,14.3,0.11,81,2,5,47,58,0.56,6,2,Revivre Milano,3,1,5
Ritorno_13,3,37,30,7,59,4,11,1.33,-0.12,61,5,26,12,19.7,0.11,67,8,6,33,49.3,0.37,NA,NA,Revivre Milano,0,0,5
Andata_1,3,34,25,9,54,3,8,1,-0.09,62,4,22,23,37.1,0.31,80,4,6,26,32.5,0.27,5,1.67,Gi Group Monza,0,0,0
Andata_2,3,53,31,22,74,6,11,2,-0.07,48,4,16,12,25,0.17,74,5,6,40,54.1,0.47,7,2.33,Gi Group Monza,3,1,1
Andata_3,3,59,35,24,74,7,14,2.33,-0.09,48,2,11,26,54.2,0.5,80,3,3,42,52.5,0.49,10,3.33,Gi Group Monza,3,1,2
Andata_4,5,75,47,28,112,10,22,2,-0.11,91,14,38,23,25.3,0.1,126,7,13,58,46,0.4,7,1.4,Gi Group Monza,2,0,2
Andata_5,3,48,34,14,70,4,12,1.33,-0.11,66,7,22,20,30.3,0.2,84,11,10,42,50,0.37,2,0.67,Gi Group Monza,0,0,2
Andata_6,3,56,34,22,73,6,9,2,-0.04,55,3,15,29,52.7,0.47,91,5,4,45,49.5,0.44,5,1.67,Gi Group Monza,3,1,3
Andata_7,3,39,24,15,68,4,16,1.33,-0.18,51,10,19,14,27.5,0.08,69,5,7,28,40.6,0.33,7,2.33,Gi Group Monza,0,0,3
Andata_8,5,76,48,28,104,5,17,1,-0.12,86,5,36,29,33.7,0.28,119,6,10,57,47.9,0.43,14,2.8,Gi Group Monza,3,1,4
Andata_9,4,76,43,33,96,8,23,2,-0.16,69,6,31,23,33.3,0.25,103,7,6,55,53.4,0.47,13,3.25,Gi Group Monza,3,1,5
Andata_10,3,40,25,15,56,2,10,0.67,-0.14,63,8,24,17,27,0.14,71,9,8,32,45.1,0.32,6,2,Gi Group Monza,0,0,5
Andata_11,4,72,47,25,97,5,15,1.25,-0.1,83,6,34,29,34.9,0.28,123,4,13,56,45.5,0.42,11,2.75,Gi Group Monza,3,1,6
Andata_12,5,68,45,23,103,2,19,0.4,-0.17,80,7,24,27,33.7,0.25,113,5,8,57,50.4,0.46,9,1.8,Gi Group Monza,2,0,6
Andata_13,4,51,32,19,79,4,12,1,-0.1,74,11,27,26,35.1,0.2,87,6,6,41,47.1,0.4,6,1.5,Gi Group Monza,1,0,6
Ritorno_1,3,34,23,11,59,3,10,1,-0.12,58,6,22,13,22.4,0.12,67,10,7,24,35.8,0.21,7,2.33,Gi Group Monza,0,0,6
Ritorno_2,4,65,39,26,89,8,10,2,-0.02,60,6,26,18,30,0.2,86,4,4,48,55.8,0.51,9,2.25,Gi Group Monza,3,1,7
Ritorno_3,3,50,28,22,74,4,14,1.33,-0.14,47,5,19,14,29.8,0.19,63,5,3,39,61.9,0.54,7,2.33,Gi Group Monza,3,1,8
Ritorno_4,3,41,31,10,62,6,11,2,-0.08,62,1,29,19,30.6,0.29,84,8,10,34,40.5,0.31,1,0.33,Gi Group Monza,0,0,8
Ritorno_5,4,76,47,29,98,11,19,2.75,-0.08,73,4,28,25,34.2,0.29,114,12,8,51,44.7,0.34,14,3.5,Gi Group Monza,3,1,9
Ritorno_6,3,38,29,9,60,3,7,1,-0.07,66,11,22,17,25.8,0.09,83,6,8,33,39.8,0.33,2,0.67,Gi Group Monza,0,0,9
Ritorno_7,4,67,34,33,96,7,19,1.75,-0.12,65,7,23,21,32.3,0.22,106,6,6,48,45.3,0.4,12,3,Gi Group Monza,3,1,10
Ritorno_8,4,53,34,19,80,6,14,1.5,-0.1,82,13,29,20,24.4,0.09,101,8,15,37,36.6,0.29,10,2.5,Gi Group Monza,1,0,10
Ritorno_9,5,71,51,20,100,5,24,1,-0.19,93,12,32,33,35.5,0.23,132,10,10,58,43.9,0.36,8,1.6,Gi Group Monza,2,0,10
Ritorno_10,4,67,43,24,89,8,18,2,-0.11,79,11,40,13,16.5,0.03,99,5,9,52,52.5,0.47,7,1.75,Gi Group Monza,1,0,10
Ritorno_11,4,52,40,12,83,4,26,1,-0.27,79,9,47,9,11.4,NA,97,6,10,43,44.3,0.38,5,1.25,Gi Group Monza,1,0,10
Ritorno_12,3,44,35,9,65,NA,19,NA,-0.29,60,5,28,15,25,0.17,66,2,7,40,60.6,0.58,4,1.33,Gi Group Monza,0,0,10
Ritorno_13,5,73,50,23,107,9,18,1.8,-0.08,86,6,45,26,30.2,0.23,116,9,10,57,49.1,0.41,7,1.4,Gi Group Monza,3,1,11
Andata_1,3,62,31,31,74,11,16,3.67,-0.07,57,7,15,24,42.1,0.3,91,5,6,46,50.5,0.45,5,1.67,Azimut Modena,3,1,1
Andata_2,4,73,43,30,97,9,19,2.25,-0.1,69,9,34,15,21.7,0.09,98,7,9,54,55.1,0.48,10,2.5,Azimut Modena,3,1,2
Andata_3,5,77,59,18,111,3,26,0.6,-0.21,94,9,27,26,27.7,0.18,125,5,14,64,51.2,0.47,10,2,Azimut Modena,3,1,3
Andata_4,3,54,28,26,77,12,17,4,-0.06,59,2,25,19,32.2,0.29,82,9,8,33,40.2,0.29,9,3,Azimut Modena,3,1,4
Andata_5,3,56,33,23,73,8,10,2.67,-0.03,49,6,13,14,28.6,0.16,77,10,5,41,53.2,0.4,7,2.33,Azimut Modena,3,1,5
Andata_6,3,54,35,19,73,6,18,2,-0.16,54,5,21,22,40.7,0.31,79,3,8,42,53.2,0.49,6,2,Azimut Modena,3,1,6
Andata_7,4,71,47,24,96,3,22,0.75,-0.2,74,6,21,21,28.4,0.2,109,8,9,58,53.2,0.46,10,2.5,Azimut Modena,3,1,7
Andata_8,3,49,31,18,73,8,8,2.67,NA,43,4,18,14,32.6,0.23,70,1,5,36,51.4,0.5,5,1.67,Azimut Modena,3,1,8
Andata_9,4,51,35,16,84,3,15,0.75,-0.14,73,11,23,24,32.9,0.18,103,5,13,42,40.8,0.36,6,1.5,Azimut Modena,1,0,8
Andata_10,4,64,36,28,93,6,14,1.5,-0.09,81,8,37,26,32.1,0.22,96,8,14,47,49,0.41,11,2.75,Azimut Modena,1,0,8
Andata_11,5,68,35,33,105,11,16,2.2,-0.05,72,5,30,25,34.7,0.28,97,10,15,46,47.4,0.37,11,2.2,Azimut Modena,3,1,9
Andata_12,4,75,45,30,109,12,26,3,-0.13,78,NA,43,30,38.5,0.38,107,13,10,55,51.4,0.39,8,2,Azimut Modena,3,1,10
Andata_13,5,76,52,24,116,9,30,1.8,-0.18,88,7,46,13,14.8,0.07,100,3,15,54,54,0.51,13,2.6,Azimut Modena,3,1,11
Ritorno_1,3,52,29,23,73,8,16,2.67,-0.11,41,2,17,11,26.8,0.22,59,2,4,37,62.7,0.59,7,2.33,Azimut Modena,3,1,12
Ritorno_2,5,78,45,33,109,13,20,2.6,-0.06,71,7,28,21,29.6,0.2,97,8,6,58,59.8,0.52,7,1.4,Azimut Modena,3,1,13
Ritorno_3,4,62,40,22,91,9,31,2.25,-0.24,74,13,23,18,24.3,0.07,94,2,8,48,51.1,0.49,5,1.25,Azimut Modena,1,0,13
Ritorno_4,3,48,29,19,73,7,16,2.33,-0.12,49,7,20,6,12.2,-0.02,69,6,6,38,55.1,0.46,3,1,Azimut Modena,3,1,14
Ritorno_5,5,84,52,32,109,12,18,2.4,-0.06,89,5,30,30,33.7,0.28,128,14,14,62,48.4,0.37,10,2,Azimut Modena,3,1,15
Ritorno_6,3,56,36,20,74,4,13,1.33,-0.12,54,7,21,13,24.1,0.11,75,1,6,46,61.3,0.6,6,2,Azimut Modena,3,1,16
Ritorno_7,5,74,43,31,105,10,29,2,-0.18,81,4,35,26,32.1,0.27,119,9,12,52,43.7,0.36,12,2.4,Azimut Modena,3,1,17
Ritorno_8,3,46,34,12,63,1,18,0.33,-0.27,62,3,30,20,32.3,0.27,85,8,8,40,47.1,0.38,5,1.67,Azimut Modena,0,0,17
Ritorno_9,5,76,45,31,112,10,19,2,-0.08,76,7,34,21,27.6,0.18,116,7,8,56,48.3,0.42,10,2,Azimut Modena,3,1,18
Ritorno_10,4,70,36,34,97,8,19,2,-0.11,70,13,30,18,25.7,0.07,89,9,6,51,57.3,0.47,11,2.75,Azimut Modena,3,1,19
Ritorno_11,3,50,34,16,68,3,19,1,-0.24,66,8,34,16,24.2,0.12,94,6,9,41,43.6,0.37,6,2,Azimut Modena,0,0,19
Ritorno_12,4,65,36,29,93,7,11,1.75,-0.04,68,9,31,20,29.4,0.16,91,3,14,48,52.7,0.49,10,2.5,Azimut Modena,3,1,20
Ritorno_13,4,54,40,14,81,4,19,1,-0.19,79,8,34,23,29.1,0.19,104,7,10,42,40.4,0.34,8,2,Azimut Modena,1,0,20
Andata_1,4,67,36,31,101,7,22,1.75,-0.15,72,12,17,27,37.5,0.21,100,8,7,47,47,0.39,13,3.25,Exprivia Molfetta,1,0,0
Andata_2,3,35,28,7,55,1,13,0.33,-0.22,60,4,34,16,26.7,0.2,86,13,7,30,34.9,0.2,4,1.33,Exprivia Molfetta,0,0,0
Andata_3,4,73,46,27,97,7,20,1.75,-0.13,81,6,28,22,27.2,0.2,116,10,6,55,47.4,0.39,11,2.75,Exprivia Molfetta,3,1,1
Andata_4,5,69,42,27,99,9,19,1.8,-0.1,84,3,39,27,32.1,0.29,110,13,9,51,46.4,0.35,9,1.8,Exprivia Molfetta,2,0,1
Andata_5,3,31,24,7,52,2,14,0.67,-0.23,56,13,21,16,28.6,0.05,67,6,8,27,40.3,0.31,2,0.67,Exprivia Molfetta,0,0,1
Andata_6,4,59,40,19,85,5,15,1.25,-0.12,81,8,36,24,29.6,0.2,116,12,13,46,39.7,0.29,8,2,Exprivia Molfetta,1,0,1
Andata_7,4,62,50,12,82,5,16,1.25,-0.13,84,5,30,24,28.6,0.23,100,8,8,52,52,0.44,5,1.25,Exprivia Molfetta,1,0,1
Andata_8,3,55,32,23,72,7,10,2.33,-0.04,46,5,16,16,34.8,0.24,62,1,4,42,67.7,0.66,6,2,Exprivia Molfetta,3,1,2
Andata_9,5,66,42,24,100,7,23,1.4,-0.16,89,6,31,25,28.1,0.21,132,13,15,54,40.9,0.31,5,1,Exprivia Molfetta,2,0,2
Andata_10,4,77,40,37,100,8,19,2,-0.11,79,6,37,28,35.4,0.28,105,8,11,55,52.4,0.45,14,3.5,Exprivia Molfetta,3,1,3
Andata_11,4,74,47,27,95,4,12,1,-0.08,82,6,29,28,34.1,0.27,128,8,11,57,44.5,0.38,13,3.25,Exprivia Molfetta,1,0,3
Andata_12,4,54,35,19,78,8,15,2,-0.09,78,13,29,17,21.8,0.05,80,8,7,41,51.2,0.41,5,1.25,Exprivia Molfetta,1,0,3
Andata_13,5,83,52,31,111,12,23,2.4,-0.1,97,9,60,16,16.5,0.07,129,10,11,60,46.5,0.39,11,2.2,Exprivia Molfetta,2,0,3
Ritorno_1,4,56,41,15,83,4,16,1,-0.14,75,5,28,17,22.7,0.16,101,10,11,44,43.6,0.34,8,2,Exprivia Molfetta,1,0,3
Ritorno_2,3,55,35,20,76,5,11,1.67,-0.08,59,6,32,13,22,0.12,79,6,6,44,55.7,0.48,6,2,Exprivia Molfetta,3,1,4
Ritorno_3,3,58,35,23,75,4,11,1.33,-0.09,70,12,28,20,28.6,0.11,88,8,10,44,50,0.41,10,3.33,Exprivia Molfetta,0,0,4
Ritorno_4,4,48,31,17,75,2,12,0.5,-0.13,77,12,39,21,27.3,0.12,94,15,11,41,43.6,0.28,5,1.25,Exprivia Molfetta,1,0,4
Ritorno_5,3,55,29,26,74,10,12,3.33,-0.03,48,1,22,15,31.2,0.29,81,5,5,39,48.1,0.42,6,2,Exprivia Molfetta,3,1,5
Ritorno_6,5,73,44,29,108,15,19,3,-0.04,80,5,43,7,8.7,0.02,103,10,8,50,48.5,0.39,8,1.6,Exprivia Molfetta,3,1,6
Ritorno_7,5,84,58,26,106,8,17,1.6,-0.08,84,1,38,28,33.3,0.32,130,11,8,67,51.5,0.43,9,1.8,Exprivia Molfetta,3,1,7
Ritorno_8,4,57,38,19,91,5,25,1.25,-0.22,80,7,38,21,26.2,0.17,97,15,5,45,46.4,0.31,7,1.75,Exprivia Molfetta,1,0,7
Ritorno_9,3,37,30,7,55,3,11,1,-0.15,65,8,36,11,16.9,0.05,67,7,6,32,47.8,0.37,2,0.67,Exprivia Molfetta,0,0,7
